NUTS2_code,process,hour,load
PT16,Heating Tertiary,1,262.82099999999997
PT16,Heating Tertiary,2,302.573
PT16,Heating Tertiary,3,334.556
PT16,Heating Tertiary,4,354.161
PT16,Heating Tertiary,5,363.095
PT16,Heating Tertiary,6,366.05300000000005
PT16,Heating Tertiary,7,359.26599999999996
PT16,Heating Tertiary,8,339.723
PT16,Heating Tertiary,9,308.932
PT16,Heating Tertiary,10,272.75
PT16,Heating Tertiary,11,238.919
PT16,Heating Tertiary,12,212.91
PT16,Heating Tertiary,13,194.93
PT16,Heating Tertiary,14,181.05
PT16,Heating Tertiary,15,170.41299999999995
PT16,Heating Tertiary,16,164.55
PT16,Heating Tertiary,17,161.954
PT16,Heating Tertiary,18,160.66299999999995
PT16,Heating Tertiary,19,158.644
PT16,Heating Tertiary,20,157.984
PT16,Heating Tertiary,21,160.91
PT16,Heating Tertiary,22,171.278
PT16,Heating Tertiary,23,192.40900000000002
PT16,Heating Tertiary,24,223.833
PT16,Heating Tertiary,25,265.69
PT16,Heating Tertiary,26,302.312
PT16,Heating Tertiary,27,328.97
PT16,Heating Tertiary,28,344.24800000000016
PT16,Heating Tertiary,29,353.51099999999997
PT16,Heating Tertiary,30,358.26
PT16,Heating Tertiary,31,352.944
PT16,Heating Tertiary,32,333.61
PT16,Heating Tertiary,33,302.585
PT16,Heating Tertiary,34,266.185
PT16,Heating Tertiary,35,231.32299999999998
PT16,Heating Tertiary,36,203.468
PT16,Heating Tertiary,37,183.547
PT16,Heating Tertiary,38,168.915
PT16,Heating Tertiary,39,158.655
PT16,Heating Tertiary,40,154.19799999999995
PT16,Heating Tertiary,41,154.829
PT16,Heating Tertiary,42,156.88
PT16,Heating Tertiary,43,157.513
PT16,Heating Tertiary,44,157.387
PT16,Heating Tertiary,45,159.467
PT16,Heating Tertiary,46,169.032
PT16,Heating Tertiary,47,191.005
PT16,Heating Tertiary,48,225.037
PT16,Heating Tertiary,49,262.82099999999997
PT16,Heating Tertiary,50,302.573
PT16,Heating Tertiary,51,334.556
PT16,Heating Tertiary,52,354.161
PT16,Heating Tertiary,53,363.095
PT16,Heating Tertiary,54,366.05300000000005
PT16,Heating Tertiary,55,359.26599999999996
PT16,Heating Tertiary,56,339.723
PT16,Heating Tertiary,57,308.932
PT16,Heating Tertiary,58,272.75
PT16,Heating Tertiary,59,238.919
PT16,Heating Tertiary,60,212.91
PT16,Heating Tertiary,61,194.93
PT16,Heating Tertiary,62,181.05
PT16,Heating Tertiary,63,170.41299999999995
PT16,Heating Tertiary,64,164.55
PT16,Heating Tertiary,65,161.954
PT16,Heating Tertiary,66,160.66299999999995
PT16,Heating Tertiary,67,158.644
PT16,Heating Tertiary,68,157.984
PT16,Heating Tertiary,69,160.91
PT16,Heating Tertiary,70,171.278
PT16,Heating Tertiary,71,192.40900000000002
PT16,Heating Tertiary,72,223.833
PT16,Heating Tertiary,73,185.93099999999998
PT16,Heating Tertiary,74,210.477
PT16,Heating Tertiary,75,229.195
PT16,Heating Tertiary,76,240.424
PT16,Heating Tertiary,77,246.252
PT16,Heating Tertiary,78,248.34599999999998
PT16,Heating Tertiary,79,243.595
PT16,Heating Tertiary,80,228.988
PT16,Heating Tertiary,81,206.25099999999998
PT16,Heating Tertiary,82,180.40200000000002
PT16,Heating Tertiary,83,157.25799999999995
PT16,Heating Tertiary,84,139.424
PT16,Heating Tertiary,85,127.02
PT16,Heating Tertiary,86,117.751
PT16,Heating Tertiary,87,111.557
PT16,Heating Tertiary,88,108.84
PT16,Heating Tertiary,89,109.01799999999999
PT16,Heating Tertiary,90,110.11399999999999
PT16,Heating Tertiary,91,110.485
PT16,Heating Tertiary,92,111.113
PT16,Heating Tertiary,93,113.90299999999999
PT16,Heating Tertiary,94,121.905
PT16,Heating Tertiary,95,137.313
PT16,Heating Tertiary,96,159.786
PT16,Heating Tertiary,97,253.47400000000002
PT16,Heating Tertiary,98,286.939
PT16,Heating Tertiary,99,312.45599999999996
PT16,Heating Tertiary,100,327.765
PT16,Heating Tertiary,101,335.71
PT16,Heating Tertiary,102,338.566
PT16,Heating Tertiary,103,332.088
PT16,Heating Tertiary,104,312.1740000000001
PT16,Heating Tertiary,105,281.17900000000003
PT16,Heating Tertiary,106,245.938
PT16,Heating Tertiary,107,214.387
PT16,Heating Tertiary,108,190.075
PT16,Heating Tertiary,109,173.16400000000004
PT16,Heating Tertiary,110,160.528
PT16,Heating Tertiary,111,152.084
PT16,Heating Tertiary,112,148.38
PT16,Heating Tertiary,113,148.623
PT16,Heating Tertiary,114,150.11700000000005
PT16,Heating Tertiary,115,150.622
PT16,Heating Tertiary,116,151.47799999999995
PT16,Heating Tertiary,117,155.282
PT16,Heating Tertiary,118,166.19099999999997
PT16,Heating Tertiary,119,187.196
PT16,Heating Tertiary,120,217.832
PT16,Heating Tertiary,121,356.366
PT16,Heating Tertiary,122,403.413
PT16,Heating Tertiary,123,439.289
PT16,Heating Tertiary,124,460.81300000000016
PT16,Heating Tertiary,125,471.98199999999997
PT16,Heating Tertiary,126,475.996
PT16,Heating Tertiary,127,466.89
PT16,Heating Tertiary,128,438.89300000000003
PT16,Heating Tertiary,129,395.31699999999995
PT16,Heating Tertiary,130,345.77
PT16,Heating Tertiary,131,301.411
PT16,Heating Tertiary,132,267.22900000000004
PT16,Heating Tertiary,133,243.455
PT16,Heating Tertiary,134,225.68900000000002
PT16,Heating Tertiary,135,213.81799999999998
PT16,Heating Tertiary,136,208.61
PT16,Heating Tertiary,137,208.951
PT16,Heating Tertiary,138,211.05200000000002
PT16,Heating Tertiary,139,211.762
PT16,Heating Tertiary,140,212.967
PT16,Heating Tertiary,141,218.315
PT16,Heating Tertiary,142,233.65099999999998
PT16,Heating Tertiary,143,263.183
PT16,Heating Tertiary,144,306.256
PT16,Heating Tertiary,145,424.63800000000003
PT16,Heating Tertiary,146,480.69800000000004
PT16,Heating Tertiary,147,523.446
PT16,Heating Tertiary,148,549.0930000000002
PT16,Heating Tertiary,149,562.4019999999998
PT16,Heating Tertiary,150,567.186
PT16,Heating Tertiary,151,556.3340000000002
PT16,Heating Tertiary,152,522.975
PT16,Heating Tertiary,153,471.05
PT16,Heating Tertiary,154,412.01099999999997
PT16,Heating Tertiary,155,359.153
PT16,Heating Tertiary,156,318.4240000000001
PT16,Heating Tertiary,157,290.094
PT16,Heating Tertiary,158,268.926
PT16,Heating Tertiary,159,254.78
PT16,Heating Tertiary,160,248.575
PT16,Heating Tertiary,161,248.983
PT16,Heating Tertiary,162,251.484
PT16,Heating Tertiary,163,252.331
PT16,Heating Tertiary,164,253.766
PT16,Heating Tertiary,165,260.138
PT16,Heating Tertiary,166,278.413
PT16,Heating Tertiary,167,313.6020000000001
PT16,Heating Tertiary,168,364.92800000000005
PT16,Heating Tertiary,169,356.366
PT16,Heating Tertiary,170,403.413
PT16,Heating Tertiary,171,439.289
PT16,Heating Tertiary,172,460.81300000000016
PT16,Heating Tertiary,173,471.98199999999997
PT16,Heating Tertiary,174,475.996
PT16,Heating Tertiary,175,466.89
PT16,Heating Tertiary,176,438.89300000000003
PT16,Heating Tertiary,177,395.31699999999995
PT16,Heating Tertiary,178,345.77
PT16,Heating Tertiary,179,301.411
PT16,Heating Tertiary,180,267.22900000000004
PT16,Heating Tertiary,181,243.455
PT16,Heating Tertiary,182,225.68900000000002
PT16,Heating Tertiary,183,213.81799999999998
PT16,Heating Tertiary,184,208.61
PT16,Heating Tertiary,185,208.951
PT16,Heating Tertiary,186,211.05200000000002
PT16,Heating Tertiary,187,211.762
PT16,Heating Tertiary,188,212.967
PT16,Heating Tertiary,189,218.315
PT16,Heating Tertiary,190,233.65099999999998
PT16,Heating Tertiary,191,263.183
PT16,Heating Tertiary,192,306.256
PT16,Heating Tertiary,193,445.102
PT16,Heating Tertiary,194,506.452
PT16,Heating Tertiary,195,551.112
PT16,Heating Tertiary,196,576.7040000000002
PT16,Heating Tertiary,197,592.225
PT16,Heating Tertiary,198,600.181
PT16,Heating Tertiary,199,591.276
PT16,Heating Tertiary,200,558.883
PT16,Heating Tertiary,201,506.909
PT16,Heating Tertiary,202,445.93
PT16,Heating Tertiary,203,387.527
PT16,Heating Tertiary,204,340.86300000000006
PT16,Heating Tertiary,205,307.488
PT16,Heating Tertiary,206,282.978
PT16,Heating Tertiary,207,265.789
PT16,Heating Tertiary,208,258.323
PT16,Heating Tertiary,209,259.379
PT16,Heating Tertiary,210,262.816
PT16,Heating Tertiary,211,263.876
PT16,Heating Tertiary,212,263.664
PT16,Heating Tertiary,213,267.149
PT16,Heating Tertiary,214,283.172
PT16,Heating Tertiary,215,319.982
PT16,Heating Tertiary,216,376.99699999999996
PT16,Heating Tertiary,217,518.613
PT16,Heating Tertiary,218,597.055
PT16,Heating Tertiary,219,660.163
PT16,Heating Tertiary,220,698.8489999999997
PT16,Heating Tertiary,221,716.48
PT16,Heating Tertiary,222,722.315
PT16,Heating Tertiary,223,708.923
PT16,Heating Tertiary,224,670.363
PT16,Heating Tertiary,225,609.6030000000002
PT16,Heating Tertiary,226,538.206
PT16,Heating Tertiary,227,471.44800000000004
PT16,Heating Tertiary,228,420.12800000000004
PT16,Heating Tertiary,229,384.648
PT16,Heating Tertiary,230,357.25699999999995
PT16,Heating Tertiary,231,336.269
PT16,Heating Tertiary,232,324.7
PT16,Heating Tertiary,233,319.57599999999996
PT16,Heating Tertiary,234,317.029
PT16,Heating Tertiary,235,313.0440000000001
PT16,Heating Tertiary,236,311.742
PT16,Heating Tertiary,237,317.517
PT16,Heating Tertiary,238,337.976
PT16,Heating Tertiary,239,379.673
PT16,Heating Tertiary,240,441.67800000000005
PT16,Heating Tertiary,241,461.436
PT16,Heating Tertiary,242,522.356
PT16,Heating Tertiary,243,568.807
PT16,Heating Tertiary,244,596.677
PT16,Heating Tertiary,245,611.139
PT16,Heating Tertiary,246,616.337
PT16,Heating Tertiary,247,604.545
PT16,Heating Tertiary,248,568.295
PT16,Heating Tertiary,249,511.87
PT16,Heating Tertiary,250,447.715
PT16,Heating Tertiary,251,390.278
PT16,Heating Tertiary,252,346.019
PT16,Heating Tertiary,253,315.2340000000001
PT16,Heating Tertiary,254,292.231
PT16,Heating Tertiary,255,276.86
PT16,Heating Tertiary,256,270.115
PT16,Heating Tertiary,257,270.559
PT16,Heating Tertiary,258,273.278
PT16,Heating Tertiary,259,274.197
PT16,Heating Tertiary,260,275.757
PT16,Heating Tertiary,261,282.683
PT16,Heating Tertiary,262,302.54
PT16,Heating Tertiary,263,340.778
PT16,Heating Tertiary,264,396.551
PT16,Heating Tertiary,265,424.63800000000003
PT16,Heating Tertiary,266,480.69800000000004
PT16,Heating Tertiary,267,523.446
PT16,Heating Tertiary,268,549.0930000000002
PT16,Heating Tertiary,269,562.4019999999998
PT16,Heating Tertiary,270,567.186
PT16,Heating Tertiary,271,556.3340000000002
PT16,Heating Tertiary,272,522.975
PT16,Heating Tertiary,273,471.05
PT16,Heating Tertiary,274,412.01099999999997
PT16,Heating Tertiary,275,359.153
PT16,Heating Tertiary,276,318.4240000000001
PT16,Heating Tertiary,277,290.094
PT16,Heating Tertiary,278,268.926
PT16,Heating Tertiary,279,254.78
PT16,Heating Tertiary,280,248.575
PT16,Heating Tertiary,281,248.983
PT16,Heating Tertiary,282,251.484
PT16,Heating Tertiary,283,252.331
PT16,Heating Tertiary,284,253.766
PT16,Heating Tertiary,285,260.138
PT16,Heating Tertiary,286,278.413
PT16,Heating Tertiary,287,313.6020000000001
PT16,Heating Tertiary,288,364.92800000000005
PT16,Heating Tertiary,289,288.336
PT16,Heating Tertiary,290,326.404
PT16,Heating Tertiary,291,355.431
PT16,Heating Tertiary,292,372.845
PT16,Heating Tertiary,293,381.88300000000004
PT16,Heating Tertiary,294,385.131
PT16,Heating Tertiary,295,377.76199999999994
PT16,Heating Tertiary,296,355.11
PT16,Heating Tertiary,297,319.8520000000001
PT16,Heating Tertiary,298,279.763
PT16,Heating Tertiary,299,243.873
PT16,Heating Tertiary,300,216.21599999999998
PT16,Heating Tertiary,301,196.979
PT16,Heating Tertiary,302,182.607
PT16,Heating Tertiary,303,173.0
PT16,Heating Tertiary,304,168.787
PT16,Heating Tertiary,305,169.06400000000005
PT16,Heating Tertiary,306,170.763
PT16,Heating Tertiary,307,171.338
PT16,Heating Tertiary,308,172.312
PT16,Heating Tertiary,309,176.639
PT16,Heating Tertiary,310,189.047
PT16,Heating Tertiary,311,212.94099999999997
PT16,Heating Tertiary,312,247.793
PT16,Heating Tertiary,313,185.93099999999998
PT16,Heating Tertiary,314,210.477
PT16,Heating Tertiary,315,229.195
PT16,Heating Tertiary,316,240.424
PT16,Heating Tertiary,317,246.252
PT16,Heating Tertiary,318,248.34599999999998
PT16,Heating Tertiary,319,243.595
PT16,Heating Tertiary,320,228.988
PT16,Heating Tertiary,321,206.25099999999998
PT16,Heating Tertiary,322,180.40200000000002
PT16,Heating Tertiary,323,157.25799999999995
PT16,Heating Tertiary,324,139.424
PT16,Heating Tertiary,325,127.02
PT16,Heating Tertiary,326,117.751
PT16,Heating Tertiary,327,111.557
PT16,Heating Tertiary,328,108.84
PT16,Heating Tertiary,329,109.01799999999999
PT16,Heating Tertiary,330,110.11399999999999
PT16,Heating Tertiary,331,110.485
PT16,Heating Tertiary,332,111.113
PT16,Heating Tertiary,333,113.90299999999999
PT16,Heating Tertiary,334,121.905
PT16,Heating Tertiary,335,137.313
PT16,Heating Tertiary,336,159.786
PT16,Heating Tertiary,337,185.93099999999998
PT16,Heating Tertiary,338,210.477
PT16,Heating Tertiary,339,229.195
PT16,Heating Tertiary,340,240.424
PT16,Heating Tertiary,341,246.252
PT16,Heating Tertiary,342,248.34599999999998
PT16,Heating Tertiary,343,243.595
PT16,Heating Tertiary,344,228.988
PT16,Heating Tertiary,345,206.25099999999998
PT16,Heating Tertiary,346,180.40200000000002
PT16,Heating Tertiary,347,157.25799999999995
PT16,Heating Tertiary,348,139.424
PT16,Heating Tertiary,349,127.02
PT16,Heating Tertiary,350,117.751
PT16,Heating Tertiary,351,111.557
PT16,Heating Tertiary,352,108.84
PT16,Heating Tertiary,353,109.01799999999999
PT16,Heating Tertiary,354,110.11399999999999
PT16,Heating Tertiary,355,110.485
PT16,Heating Tertiary,356,111.113
PT16,Heating Tertiary,357,113.90299999999999
PT16,Heating Tertiary,358,121.905
PT16,Heating Tertiary,359,137.313
PT16,Heating Tertiary,360,159.786
PT16,Heating Tertiary,361,265.69
PT16,Heating Tertiary,362,302.312
PT16,Heating Tertiary,363,328.97
PT16,Heating Tertiary,364,344.24800000000016
PT16,Heating Tertiary,365,353.51099999999997
PT16,Heating Tertiary,366,358.26
PT16,Heating Tertiary,367,352.944
PT16,Heating Tertiary,368,333.61
PT16,Heating Tertiary,369,302.585
PT16,Heating Tertiary,370,266.185
PT16,Heating Tertiary,371,231.32299999999998
PT16,Heating Tertiary,372,203.468
PT16,Heating Tertiary,373,183.547
PT16,Heating Tertiary,374,168.915
PT16,Heating Tertiary,375,158.655
PT16,Heating Tertiary,376,154.19799999999995
PT16,Heating Tertiary,377,154.829
PT16,Heating Tertiary,378,156.88
PT16,Heating Tertiary,379,157.513
PT16,Heating Tertiary,380,157.387
PT16,Heating Tertiary,381,159.467
PT16,Heating Tertiary,382,169.032
PT16,Heating Tertiary,383,191.005
PT16,Heating Tertiary,384,225.037
PT16,Heating Tertiary,385,157.392
PT16,Heating Tertiary,386,181.197
PT16,Heating Tertiary,387,200.35
PT16,Heating Tertiary,388,212.09099999999998
PT16,Heating Tertiary,389,217.44099999999997
PT16,Heating Tertiary,390,219.21099999999998
PT16,Heating Tertiary,391,215.148
PT16,Heating Tertiary,392,203.446
PT16,Heating Tertiary,393,185.00599999999997
PT16,Heating Tertiary,394,163.33700000000005
PT16,Heating Tertiary,395,143.078
PT16,Heating Tertiary,396,127.50299999999999
PT16,Heating Tertiary,397,116.735
PT16,Heating Tertiary,398,108.42200000000001
PT16,Heating Tertiary,399,102.053
PT16,Heating Tertiary,400,98.5416
PT16,Heating Tertiary,401,96.9865
PT16,Heating Tertiary,402,96.2135
PT16,Heating Tertiary,403,95.0043
PT16,Heating Tertiary,404,94.6091
PT16,Heating Tertiary,405,96.3618
PT16,Heating Tertiary,406,102.571
PT16,Heating Tertiary,407,115.225
PT16,Heating Tertiary,408,134.043
PT16,Heating Tertiary,409,185.93099999999998
PT16,Heating Tertiary,410,210.477
PT16,Heating Tertiary,411,229.195
PT16,Heating Tertiary,412,240.424
PT16,Heating Tertiary,413,246.252
PT16,Heating Tertiary,414,248.34599999999998
PT16,Heating Tertiary,415,243.595
PT16,Heating Tertiary,416,228.988
PT16,Heating Tertiary,417,206.25099999999998
PT16,Heating Tertiary,418,180.40200000000002
PT16,Heating Tertiary,419,157.25799999999995
PT16,Heating Tertiary,420,139.424
PT16,Heating Tertiary,421,127.02
PT16,Heating Tertiary,422,117.751
PT16,Heating Tertiary,423,111.557
PT16,Heating Tertiary,424,108.84
PT16,Heating Tertiary,425,109.01799999999999
PT16,Heating Tertiary,426,110.11399999999999
PT16,Heating Tertiary,427,110.485
PT16,Heating Tertiary,428,111.113
PT16,Heating Tertiary,429,113.90299999999999
PT16,Heating Tertiary,430,121.905
PT16,Heating Tertiary,431,137.313
PT16,Heating Tertiary,432,159.786
PT16,Heating Tertiary,433,185.93099999999998
PT16,Heating Tertiary,434,210.477
PT16,Heating Tertiary,435,229.195
PT16,Heating Tertiary,436,240.424
PT16,Heating Tertiary,437,246.252
PT16,Heating Tertiary,438,248.34599999999998
PT16,Heating Tertiary,439,243.595
PT16,Heating Tertiary,440,228.988
PT16,Heating Tertiary,441,206.25099999999998
PT16,Heating Tertiary,442,180.40200000000002
PT16,Heating Tertiary,443,157.25799999999995
PT16,Heating Tertiary,444,139.424
PT16,Heating Tertiary,445,127.02
PT16,Heating Tertiary,446,117.751
PT16,Heating Tertiary,447,111.557
PT16,Heating Tertiary,448,108.84
PT16,Heating Tertiary,449,109.01799999999999
PT16,Heating Tertiary,450,110.11399999999999
PT16,Heating Tertiary,451,110.485
PT16,Heating Tertiary,452,111.113
PT16,Heating Tertiary,453,113.90299999999999
PT16,Heating Tertiary,454,121.905
PT16,Heating Tertiary,455,137.313
PT16,Heating Tertiary,456,159.786
PT16,Heating Tertiary,457,185.93099999999998
PT16,Heating Tertiary,458,210.477
PT16,Heating Tertiary,459,229.195
PT16,Heating Tertiary,460,240.424
PT16,Heating Tertiary,461,246.252
PT16,Heating Tertiary,462,248.34599999999998
PT16,Heating Tertiary,463,243.595
PT16,Heating Tertiary,464,228.988
PT16,Heating Tertiary,465,206.25099999999998
PT16,Heating Tertiary,466,180.40200000000002
PT16,Heating Tertiary,467,157.25799999999995
PT16,Heating Tertiary,468,139.424
PT16,Heating Tertiary,469,127.02
PT16,Heating Tertiary,470,117.751
PT16,Heating Tertiary,471,111.557
PT16,Heating Tertiary,472,108.84
PT16,Heating Tertiary,473,109.01799999999999
PT16,Heating Tertiary,474,110.11399999999999
PT16,Heating Tertiary,475,110.485
PT16,Heating Tertiary,476,111.113
PT16,Heating Tertiary,477,113.90299999999999
PT16,Heating Tertiary,478,121.905
PT16,Heating Tertiary,479,137.313
PT16,Heating Tertiary,480,159.786
PT16,Heating Tertiary,481,185.93099999999998
PT16,Heating Tertiary,482,210.477
PT16,Heating Tertiary,483,229.195
PT16,Heating Tertiary,484,240.424
PT16,Heating Tertiary,485,246.252
PT16,Heating Tertiary,486,248.34599999999998
PT16,Heating Tertiary,487,243.595
PT16,Heating Tertiary,488,228.988
PT16,Heating Tertiary,489,206.25099999999998
PT16,Heating Tertiary,490,180.40200000000002
PT16,Heating Tertiary,491,157.25799999999995
PT16,Heating Tertiary,492,139.424
PT16,Heating Tertiary,493,127.02
PT16,Heating Tertiary,494,117.751
PT16,Heating Tertiary,495,111.557
PT16,Heating Tertiary,496,108.84
PT16,Heating Tertiary,497,109.01799999999999
PT16,Heating Tertiary,498,110.11399999999999
PT16,Heating Tertiary,499,110.485
PT16,Heating Tertiary,500,111.113
PT16,Heating Tertiary,501,113.90299999999999
PT16,Heating Tertiary,502,121.905
PT16,Heating Tertiary,503,137.313
PT16,Heating Tertiary,504,159.786
PT16,Heating Tertiary,505,253.47400000000002
PT16,Heating Tertiary,506,286.939
PT16,Heating Tertiary,507,312.45599999999996
PT16,Heating Tertiary,508,327.765
PT16,Heating Tertiary,509,335.71
PT16,Heating Tertiary,510,338.566
PT16,Heating Tertiary,511,332.088
PT16,Heating Tertiary,512,312.1740000000001
PT16,Heating Tertiary,513,281.17900000000003
PT16,Heating Tertiary,514,245.938
PT16,Heating Tertiary,515,214.387
PT16,Heating Tertiary,516,190.075
PT16,Heating Tertiary,517,173.16400000000004
PT16,Heating Tertiary,518,160.528
PT16,Heating Tertiary,519,152.084
PT16,Heating Tertiary,520,148.38
PT16,Heating Tertiary,521,148.623
PT16,Heating Tertiary,522,150.11700000000005
PT16,Heating Tertiary,523,150.622
PT16,Heating Tertiary,524,151.47799999999995
PT16,Heating Tertiary,525,155.282
PT16,Heating Tertiary,526,166.19099999999997
PT16,Heating Tertiary,527,187.196
PT16,Heating Tertiary,528,217.832
PT16,Heating Tertiary,529,229.91
PT16,Heating Tertiary,530,261.599
PT16,Heating Tertiary,531,284.6670000000001
PT16,Heating Tertiary,532,297.88599999999997
PT16,Heating Tertiary,533,305.904
PT16,Heating Tertiary,534,310.014
PT16,Heating Tertiary,535,305.414
PT16,Heating Tertiary,536,288.683
PT16,Heating Tertiary,537,261.835
PT16,Heating Tertiary,538,230.338
PT16,Heating Tertiary,539,200.171
PT16,Heating Tertiary,540,176.067
PT16,Heating Tertiary,541,158.828
PT16,Heating Tertiary,542,146.167
PT16,Heating Tertiary,543,137.289
PT16,Heating Tertiary,544,133.43200000000002
PT16,Heating Tertiary,545,133.97799999999998
PT16,Heating Tertiary,546,135.753
PT16,Heating Tertiary,547,136.30100000000002
PT16,Heating Tertiary,548,136.192
PT16,Heating Tertiary,549,137.991
PT16,Heating Tertiary,550,146.268
PT16,Heating Tertiary,551,165.282
PT16,Heating Tertiary,552,194.732
PT16,Heating Tertiary,553,192.78599999999997
PT16,Heating Tertiary,554,221.945
PT16,Heating Tertiary,555,245.40400000000002
PT16,Heating Tertiary,556,259.785
PT16,Heating Tertiary,557,266.339
PT16,Heating Tertiary,558,268.508
PT16,Heating Tertiary,559,263.529
PT16,Heating Tertiary,560,249.196
PT16,Heating Tertiary,561,226.609
PT16,Heating Tertiary,562,200.06799999999998
PT16,Heating Tertiary,563,175.253
PT16,Heating Tertiary,564,156.175
PT16,Heating Tertiary,565,142.986
PT16,Heating Tertiary,566,132.804
PT16,Heating Tertiary,567,125.00200000000001
PT16,Heating Tertiary,568,120.70200000000001
PT16,Heating Tertiary,569,118.79700000000001
PT16,Heating Tertiary,570,117.85
PT16,Heating Tertiary,571,116.369
PT16,Heating Tertiary,572,115.885
PT16,Heating Tertiary,573,118.03200000000001
PT16,Heating Tertiary,574,125.637
PT16,Heating Tertiary,575,141.137
PT16,Heating Tertiary,576,164.18599999999995
PT16,Heating Tertiary,577,219.33900000000003
PT16,Heating Tertiary,578,248.296
PT16,Heating Tertiary,579,270.378
PT16,Heating Tertiary,580,283.625
PT16,Heating Tertiary,581,290.5
PT16,Heating Tertiary,582,292.972
PT16,Heating Tertiary,583,287.365
PT16,Heating Tertiary,584,270.134
PT16,Heating Tertiary,585,243.313
PT16,Heating Tertiary,586,212.81799999999998
PT16,Heating Tertiary,587,185.515
PT16,Heating Tertiary,588,164.477
PT16,Heating Tertiary,589,149.844
PT16,Heating Tertiary,590,138.91
PT16,Heating Tertiary,591,131.60299999999998
PT16,Heating Tertiary,592,128.39700000000002
PT16,Heating Tertiary,593,128.608
PT16,Heating Tertiary,594,129.9
PT16,Heating Tertiary,595,130.33700000000002
PT16,Heating Tertiary,596,131.079
PT16,Heating Tertiary,597,134.37
PT16,Heating Tertiary,598,143.81
PT16,Heating Tertiary,599,161.986
PT16,Heating Tertiary,600,188.498
PT16,Heating Tertiary,601,219.33900000000003
PT16,Heating Tertiary,602,248.296
PT16,Heating Tertiary,603,270.378
PT16,Heating Tertiary,604,283.625
PT16,Heating Tertiary,605,290.5
PT16,Heating Tertiary,606,292.972
PT16,Heating Tertiary,607,287.365
PT16,Heating Tertiary,608,270.134
PT16,Heating Tertiary,609,243.313
PT16,Heating Tertiary,610,212.81799999999998
PT16,Heating Tertiary,611,185.515
PT16,Heating Tertiary,612,164.477
PT16,Heating Tertiary,613,149.844
PT16,Heating Tertiary,614,138.91
PT16,Heating Tertiary,615,131.60299999999998
PT16,Heating Tertiary,616,128.39700000000002
PT16,Heating Tertiary,617,128.608
PT16,Heating Tertiary,618,129.9
PT16,Heating Tertiary,619,130.33700000000002
PT16,Heating Tertiary,620,131.079
PT16,Heating Tertiary,621,134.37
PT16,Heating Tertiary,622,143.81
PT16,Heating Tertiary,623,161.986
PT16,Heating Tertiary,624,188.498
PT16,Heating Tertiary,625,324.168
PT16,Heating Tertiary,626,366.964
PT16,Heating Tertiary,627,399.597
PT16,Heating Tertiary,628,419.17699999999996
PT16,Heating Tertiary,629,429.336
PT16,Heating Tertiary,630,432.98800000000006
PT16,Heating Tertiary,631,424.705
PT16,Heating Tertiary,632,399.23699999999997
PT16,Heating Tertiary,633,359.598
PT16,Heating Tertiary,634,314.527
PT16,Heating Tertiary,635,274.177
PT16,Heating Tertiary,636,243.085
PT16,Heating Tertiary,637,221.457
PT16,Heating Tertiary,638,205.297
PT16,Heating Tertiary,639,194.5
PT16,Heating Tertiary,640,189.762
PT16,Heating Tertiary,641,190.07299999999998
PT16,Heating Tertiary,642,191.983
PT16,Heating Tertiary,643,192.62900000000002
PT16,Heating Tertiary,644,193.725
PT16,Heating Tertiary,645,198.58900000000003
PT16,Heating Tertiary,646,212.54
PT16,Heating Tertiary,647,239.403
PT16,Heating Tertiary,648,278.585
PT16,Heating Tertiary,649,356.366
PT16,Heating Tertiary,650,403.413
PT16,Heating Tertiary,651,439.289
PT16,Heating Tertiary,652,460.81300000000016
PT16,Heating Tertiary,653,471.98199999999997
PT16,Heating Tertiary,654,475.996
PT16,Heating Tertiary,655,466.89
PT16,Heating Tertiary,656,438.89300000000003
PT16,Heating Tertiary,657,395.31699999999995
PT16,Heating Tertiary,658,345.77
PT16,Heating Tertiary,659,301.411
PT16,Heating Tertiary,660,267.22900000000004
PT16,Heating Tertiary,661,243.455
PT16,Heating Tertiary,662,225.68900000000002
PT16,Heating Tertiary,663,213.81799999999998
PT16,Heating Tertiary,664,208.61
PT16,Heating Tertiary,665,208.951
PT16,Heating Tertiary,666,211.05200000000002
PT16,Heating Tertiary,667,211.762
PT16,Heating Tertiary,668,212.967
PT16,Heating Tertiary,669,218.315
PT16,Heating Tertiary,670,233.65099999999998
PT16,Heating Tertiary,671,263.183
PT16,Heating Tertiary,672,306.256
PT16,Heating Tertiary,673,356.366
PT16,Heating Tertiary,674,403.413
PT16,Heating Tertiary,675,439.289
PT16,Heating Tertiary,676,460.81300000000016
PT16,Heating Tertiary,677,471.98199999999997
PT16,Heating Tertiary,678,475.996
PT16,Heating Tertiary,679,466.89
PT16,Heating Tertiary,680,438.89300000000003
PT16,Heating Tertiary,681,395.31699999999995
PT16,Heating Tertiary,682,345.77
PT16,Heating Tertiary,683,301.411
PT16,Heating Tertiary,684,267.22900000000004
PT16,Heating Tertiary,685,243.455
PT16,Heating Tertiary,686,225.68900000000002
PT16,Heating Tertiary,687,213.81799999999998
PT16,Heating Tertiary,688,208.61
PT16,Heating Tertiary,689,208.951
PT16,Heating Tertiary,690,211.05200000000002
PT16,Heating Tertiary,691,211.762
PT16,Heating Tertiary,692,212.967
PT16,Heating Tertiary,693,218.315
